Path,Classification,Confidence,SecondaryFlags,BuiltBy,KeyEvidence,Dependencies,ProposedExtractionAction,Notes
tests/headers/hdr_renderer.c,DEMO_OR_TEST,High,LEAVE_BEHIND,validate-headers,v1 header compile probes,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/headers/hdr_selection.c,DEMO_OR_TEST,High,LEAVE_BEHIND,validate-headers,v1 header compile probes,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/headers/hdr_types.c,DEMO_OR_TEST,High,LEAVE_BEHIND,validate-headers,v1 header compile probes,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/headers/hdr_umbrella.c,DEMO_OR_TEST,High,LEAVE_BEHIND,validate-headers,v1 header compile probes,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
docs/CLV_CUSTOM_CONTROL_DESIGN_AND_IMPLEMENTATION_PLAN.md,DOCUMENTATION,High,MOVE_CANDIDATE;COPY_CANDIDATE,docs only,RichListview design/implementation plan,none,COPY_TO_RICHLISTVIEW_THEN_CLEAN,Medium confidence on MASTER_PLAN: spans both cellctl and control
docs/CLV_CUSTOM_CONTROL_KEYBOARD_NAVIGATION_PLAN.md,DOCUMENTATION,High,MOVE_CANDIDATE;COPY_CANDIDATE,docs only,control keyboard NAV plan,none,COPY_TO_RICHLISTVIEW_THEN_CLEAN,Medium confidence on MASTER_PLAN: spans both cellctl and control
docs/CLV_CUSTOM_CONTROL_PHASE1_AUDIT.md,DOCUMENTATION,High,MOVE_CANDIDATE;COPY_CANDIDATE,docs only,Phase1 custom control audit,none,COPY_TO_RICHLISTVIEW_THEN_CLEAN,Medium confidence on MASTER_PLAN: spans both cellctl and control
docs/CLV_CELL_CONTROL_EVENT_NOTIFICATION_PLAN.md,DOCUMENTATION,High,MOVE_CANDIDATE;COPY_CANDIDATE,docs only,control cell events plan,none,COPY_TO_RICHLISTVIEW_THEN_CLEAN,Medium confidence on MASTER_PLAN: spans both cellctl and control
docs/CLV_CONTROL_CELLS_DEVELOPER_LOG.md,DOCUMENTATION,High,MOVE_CANDIDATE;COPY_CANDIDATE,docs only,developer log for control cells,none,COPY_TO_RICHLISTVIEW_THEN_CLEAN,Medium confidence on MASTER_PLAN: spans both cellctl and control
docs/CLV_INTERACTIVE_CONTROL_CELLS_MASTER_PLAN.md,DOCUMENTATION,Medium,MOVE_CANDIDATE;COPY_CANDIDATE;SPLIT_REQUIRED;STALE_DOCUMENTATION,docs only,master plan; may mention both paths,none,COPY_TO_RICHLISTVIEW_THEN_CLEAN,Medium confidence on MASTER_PLAN: spans both cellctl and control
docs/CLV_BENCHMARK_HANDOFF.md,DOCUMENTATION,High,MOVE_CANDIDATE;COPY_CANDIDATE,docs only,control bench handoff,none,COPY_TO_RICHLISTVIEW_THEN_CLEAN,Medium confidence on MASTER_PLAN: spans both cellctl and control
docs/CLV_BENCHMARK_IMPLEMENTATION_REPORT.md,DOCUMENTATION,High,MOVE_CANDIDATE;COPY_CANDIDATE,docs only,control bench implementation,none,COPY_TO_RICHLISTVIEW_THEN_CLEAN,Medium confidence on MASTER_PLAN: spans both cellctl and control
docs/AI_AGENT_PROMPT_AUDIT_AND_CLASSIFY_LISTVIEW_FILES.md,DOCUMENTATION,High,MOVE_CANDIDATE;COPY_CANDIDATE,docs only,this audit prompt,none,LEAVE_IN_LEGACY_REPOSITORY,Medium confidence on MASTER_PLAN: spans both cellctl and control
docs/CLV_FUTURE_IMPROVEMENTS_WISHLIST.md,DOCUMENTATION,High,MOVE_CANDIDATE;COPY_CANDIDATE;SPLIT_REQUIRED;STALE_DOCUMENTATION,docs only,wishlist spanning future work,none,COPY_TO_RICHLISTVIEW_THEN_CLEAN,Medium confidence on MASTER_PLAN: spans both cellctl and control
docs/CUSTOM_LISTVIEW_INTEGRATION_GUIDE.md,DOCUMENTATION,High,LEAVE_BEHIND,docs,primarily v1 GadTools CLV architecture/profiles,none,LEAVE_IN_LEGACY_REPOSITORY,MODULE_ARCHITECTURE layout paths outdated (src/ flat); mentions prefer custom-control-demo for cellctl
docs/CUSTOM_LISTVIEW_INTEGRATION_GUIDE_REPORT.md,DOCUMENTATION,High,LEAVE_BEHIND,docs,primarily v1 GadTools CLV architecture/profiles,none,LEAVE_IN_LEGACY_REPOSITORY,MODULE_ARCHITECTURE layout paths outdated (src/ flat); mentions prefer custom-control-demo for cellctl
docs/CLV_BUILD_PROFILES.md,DOCUMENTATION,High,LEAVE_BEHIND,docs,primarily v1 GadTools CLV architecture/profiles,none,LEAVE_IN_LEGACY_REPOSITORY,MODULE_ARCHITECTURE layout paths outdated (src/ flat); mentions prefer custom-control-demo for cellctl
docs/CLV_SIZE_REPORT.md,DOCUMENTATION,High,LEAVE_BEHIND,docs,primarily v1 GadTools CLV architecture/profiles,none,LEAVE_IN_LEGACY_REPOSITORY,MODULE_ARCHITECTURE layout paths outdated (src/ flat); mentions prefer custom-control-demo for cellctl
docs/CLV_MEMORY_MODEL.md,DOCUMENTATION,High,LEAVE_BEHIND,docs,primarily v1 GadTools CLV architecture/profiles,none,LEAVE_IN_LEGACY_REPOSITORY,MODULE_ARCHITECTURE layout paths outdated (src/ flat); mentions prefer custom-control-demo for cellctl
docs/CLV_MODULE_ARCHITECTURE.md,DOCUMENTATION,High,LEAVE_BEHIND;STALE_DOCUMENTATION;MISLEADING_NAME,docs,primarily v1 GadTools CLV architecture/profiles,none,LEAVE_IN_LEGACY_REPOSITORY,MODULE_ARCHITECTURE layout paths outdated (src/ flat); mentions prefer custom-control-demo for cellctl
docs/CLV_MODULE_AUDIT.md,DOCUMENTATION,High,LEAVE_BEHIND,docs,primarily v1 GadTools CLV architecture/profiles,none,LEAVE_IN_LEGACY_REPOSITORY,MODULE_ARCHITECTURE layout paths outdated (src/ flat); mentions prefer custom-control-demo for cellctl
docs/WB3C_TO_CLV_MIGRATION.md,DOCUMENTATION,High,LEAVE_BEHIND,docs,primarily v1 GadTools CLV architecture/profiles,none,LEAVE_IN_LEGACY_REPOSITORY,MODULE_ARCHITECTURE layout paths outdated (src/ flat); mentions prefer custom-control-demo for cellctl
docs/LISTVIEW_HELPERS.md,DOCUMENTATION,High,LEAVE_BEHIND,docs,primarily v1 GadTools CLV architecture/profiles,none,LEAVE_IN_LEGACY_REPOSITORY,MODULE_ARCHITECTURE layout paths outdated (src/ flat); mentions prefer custom-control-demo for cellctl
docs/LISTVIEW_DETAILS_HELPER.md,DOCUMENTATION,High,LEAVE_BEHIND,docs,primarily v1 GadTools CLV architecture/profiles,none,LEAVE_IN_LEGACY_REPOSITORY,MODULE_ARCHITECTURE layout paths outdated (src/ flat); mentions prefer custom-control-demo for cellctl
docs/WRAPPED_CONTINUATION_GUIDE_REPORT.md,DOCUMENTATION,High,LEAVE_BEHIND,docs,primarily v1 GadTools CLV architecture/profiles,none,LEAVE_IN_LEGACY_REPOSITORY,MODULE_ARCHITECTURE layout paths outdated (src/ flat); mentions prefer custom-control-demo for cellctl
docs/WRAPPED_CONTINUATION_GUIDE_REFINEMENT_REPORT.md,DOCUMENTATION,High,LEAVE_BEHIND,docs,primarily v1 GadTools CLV architecture/profiles,none,LEAVE_IN_LEGACY_REPOSITORY,MODULE_ARCHITECTURE layout paths outdated (src/ flat); mentions prefer custom-control-demo for cellctl
docs/CLV_68000_OPTIMIZATION_ANALYSIS.md,DOCUMENTATION,High,LEAVE_BEHIND,docs,primarily v1 GadTools CLV architecture/profiles,none,LEAVE_IN_LEGACY_REPOSITORY,MODULE_ARCHITECTURE layout paths outdated (src/ flat); mentions prefer custom-control-demo for cellctl
docs/DevLog.md,DOCUMENTATION,High,LEAVE_BEHIND,docs,primarily v1 GadTools CLV architecture/profiles,none,LEAVE_IN_LEGACY_REPOSITORY,MODULE_ARCHITECTURE layout paths outdated (src/ flat); mentions prefer custom-control-demo for cellctl
docs/OldDocs/BASELINE_VALIDATION.md,DOCUMENTATION,High,LEAVE_BEHIND;STALE_DOCUMENTATION,historical,historical extraction/modularisation/header reports for v1,none,ARCHIVE_OR_REMOVE_LATER,
docs/OldDocs/CLV_NAMESPACE_MIGRATION.md,DOCUMENTATION,High,LEAVE_BEHIND;STALE_DOCUMENTATION,historical,historical extraction/modularisation/header reports for v1,none,ARCHIVE_OR_REMOVE_LATER,
docs/OldDocs/CLV_OPTIONAL_RENDERER_AUDIT.md,DOCUMENTATION,High,LEAVE_BEHIND;STALE_DOCUMENTATION,historical,historical extraction/modularisation/header reports for v1,none,ARCHIVE_OR_REMOVE_LATER,
docs/OldDocs/CLV_PATH_WRAP_DECISION.md,DOCUMENTATION,High,LEAVE_BEHIND;STALE_DOCUMENTATION,historical,historical extraction/modularisation/header reports for v1,none,ARCHIVE_OR_REMOVE_LATER,
docs/OldDocs/CLV_SRC_DUPLICATION_AUDIT.md,DOCUMENTATION,High,LEAVE_BEHIND;STALE_DOCUMENTATION,historical,historical extraction/modularisation/header reports for v1,none,ARCHIVE_OR_REMOVE_LATER,
docs/OldDocs/CUSTOM_LISTVIEW_EXTRACTION_AND_ARCHITECTURE.md,DOCUMENTATION,High,LEAVE_BEHIND;STALE_DOCUMENTATION,historical,historical extraction/modularisation/header reports for v1,none,ARCHIVE_OR_REMOVE_LATER,
docs/OldDocs/CUSTOM_LISTVIEW_EXTRACTION_MANIFEST.md,DOCUMENTATION,High,LEAVE_BEHIND;STALE_DOCUMENTATION,historical,historical extraction/modularisation/header reports for v1,none,ARCHIVE_OR_REMOVE_LATER,
docs/OldDocs/EXTRACTION_PROVENANCE.md,DOCUMENTATION,High,LEAVE_BEHIND;STALE_DOCUMENTATION,historical,historical extraction/modularisation/header reports for v1,none,ARCHIVE_OR_REMOVE_LATER,
docs/OldDocs/EXTRACTION_REPORT.md,DOCUMENTATION,High,LEAVE_BEHIND;STALE_DOCUMENTATION,historical,historical extraction/modularisation/header reports for v1,none,ARCHIVE_OR_REMOVE_LATER,
docs/OldDocs/INITIAL_SIZE_REPORT.md,DOCUMENTATION,High,LEAVE_BEHIND;STALE_DOCUMENTATION,historical,historical extraction/modularisation/header reports for v1,none,ARCHIVE_OR_REMOVE_LATER,
docs/OldDocs/MODULARISATION_PHASE_REPORT.md,DOCUMENTATION,High,LEAVE_BEHIND;STALE_DOCUMENTATION,historical,historical extraction/modularisation/header reports for v1,none,ARCHIVE_OR_REMOVE_LATER,
docs/OldDocs/MODULAR_BASELINE_VALIDATION.md,DOCUMENTATION,High,LEAVE_BEHIND;STALE_DOCUMENTATION,historical,historical extraction/modularisation/header reports for v1,none,ARCHIVE_OR_REMOVE_LATER,
docs/OldDocs/NAMESPACE_PHASE_REPORT.md,DOCUMENTATION,High,LEAVE_BEHIND;STALE_DOCUMENTATION,historical,historical extraction/modularisation/header reports for v1,none,ARCHIVE_OR_REMOVE_LATER,
docs/OldDocs/OPTIONAL_MODULE_CLEANUP_REPORT.md,DOCUMENTATION,High,LEAVE_BEHIND;STALE_DOCUMENTATION,historical,historical extraction/modularisation/header reports for v1,none,ARCHIVE_OR_REMOVE_LATER,
docs/OldDocs/PATH_SHORTENING_CANONICAL_BEHAVIOUR_REVIEW.md,DOCUMENTATION,High,LEAVE_BEHIND;STALE_DOCUMENTATION,historical,historical extraction/modularisation/header reports for v1,none,ARCHIVE_OR_REMOVE_LATER,
docs/OldDocs/PATH_SHORTENING_CANONICAL_IMPLEMENTATION_REPORT.md,DOCUMENTATION,High,LEAVE_BEHIND;STALE_DOCUMENTATION,historical,historical extraction/modularisation/header reports for v1,none,ARCHIVE_OR_REMOVE_LATER,
docs/OldDocs/PREPROCESSOR_DEFINE_AUDIT.md,DOCUMENTATION,High,LEAVE_BEHIND;STALE_DOCUMENTATION,historical,historical extraction/modularisation/header reports for v1,none,ARCHIVE_OR_REMOVE_LATER,
docs/OldDocs/PRE_CLEANUP_REPOSITORY_STATE.md,DOCUMENTATION,High,LEAVE_BEHIND;STALE_DOCUMENTATION,historical,historical extraction/modularisation/header reports for v1,none,ARCHIVE_OR_REMOVE_LATER,
docs/OldDocs/PUBLIC_API_MAP_PROPOSED.md,DOCUMENTATION,High,LEAVE_BEHIND;STALE_DOCUMENTATION,historical,historical extraction/modularisation/header reports for v1,none,ARCHIVE_OR_REMOVE_LATER,
docs/OldDocs/PUBLIC_API_OWNERSHIP_AUDIT.md,DOCUMENTATION,High,LEAVE_BEHIND;STALE_DOCUMENTATION,historical,historical extraction/modularisation/header reports for v1,none,ARCHIVE_OR_REMOVE_LATER,
docs/OldDocs/PUBLIC_HEADER_PHASE1_VIEWPORT_INTERNALISATION_REPORT.md,DOCUMENTATION,High,LEAVE_BEHIND;STALE_DOCUMENTATION,historical,historical extraction/modularisation/header reports for v1,none,ARCHIVE_OR_REMOVE_LATER,
docs/OldDocs/PUBLIC_HEADER_PHASE2_OWNERSHIP_CLEANUP_REPORT.md,DOCUMENTATION,High,LEAVE_BEHIND;STALE_DOCUMENTATION,historical,historical extraction/modularisation/header reports for v1,none,ARCHIVE_OR_REMOVE_LATER,
docs/OldDocs/PUBLIC_HEADER_PHASE3_RENDERER_INTERNALISATION_REPORT.md,DOCUMENTATION,High,LEAVE_BEHIND;STALE_DOCUMENTATION,historical,historical extraction/modularisation/header reports for v1,none,ARCHIVE_OR_REMOVE_LATER,
docs/OldDocs/PUBLIC_HEADER_SURFACE_AUDIT.md,DOCUMENTATION,High,LEAVE_BEHIND;STALE_DOCUMENTATION,historical,historical extraction/modularisation/header reports for v1,none,ARCHIVE_OR_REMOVE_LATER,
docs/OldDocs/RENDERER_PUBLIC_SURFACE_GATE.md,DOCUMENTATION,High,LEAVE_BEHIND;STALE_DOCUMENTATION,historical,historical extraction/modularisation/header reports for v1,none,ARCHIVE_OR_REMOVE_LATER,
docs/OldDocs/RENDERER_SETUP_RESOLVER_REFACTOR_REPORT.md,DOCUMENTATION,High,LEAVE_BEHIND;STALE_DOCUMENTATION,historical,historical extraction/modularisation/header reports for v1,none,ARCHIVE_OR_REMOVE_LATER,
docs/OldDocs/RENDERER_VIEWPORT_CLIPPING_REPORT.md,DOCUMENTATION,High,LEAVE_BEHIND;STALE_DOCUMENTATION,historical,historical extraction/modularisation/header reports for v1,none,ARCHIVE_OR_REMOVE_LATER,
docs/OldDocs/SOURCE_HEADER_COLOCATION_MIGRATION_REPORT.md,DOCUMENTATION,High,LEAVE_BEHIND;STALE_DOCUMENTATION,historical,historical extraction/modularisation/header reports for v1,none,ARCHIVE_OR_REMOVE_LATER,
docs/implementation/AMIGA_ONLY_CONFIG_CONSOLIDATION_REPORT.md,DOCUMENTATION,High,LEAVE_BEHIND;STALE_DOCUMENTATION,historical,historical extraction/modularisation/header reports for v1,none,ARCHIVE_OR_REMOVE_LATER,
docs/implementation/ASCII_SEPARATOR_REFACTOR_REPORT.md,DOCUMENTATION,High,LEAVE_BEHIND;STALE_DOCUMENTATION,historical,historical extraction/modularisation/header reports for v1,none,ARCHIVE_OR_REMOVE_LATER,
docs/implementation/CLV_SIZE_REPORT_BASELINE_PRE_AMIGA_ONLY.md,DOCUMENTATION,High,LEAVE_BEHIND;STALE_DOCUMENTATION,historical,historical extraction/modularisation/header reports for v1,none,ARCHIVE_OR_REMOVE_LATER,
docs/implementation/WB3C_COMPAT_REMOVAL_REPORT.md,DOCUMENTATION,High,LEAVE_BEHIND;STALE_DOCUMENTATION,historical,historical extraction/modularisation/header reports for v1,none,ARCHIVE_OR_REMOVE_LATER,
docs/implementation/baseline_sizes_pre_amiga_only.json,DOCUMENTATION,High,LEAVE_BEHIND;STALE_DOCUMENTATION,historical,historical extraction/modularisation/header reports for v1,none,ARCHIVE_OR_REMOVE_LATER,
docs/samples/clv_benchmark_sample.txt,DOCUMENTATION,High,LEAVE_BEHIND;STALE_DOCUMENTATION,historical,historical extraction/modularisation/header reports for v1,none,ARCHIVE_OR_REMOVE_LATER,
docs/audit/LISTVIEW_ARCHITECTURE_FILE_AUDIT.md,DOCUMENTATION,High,COPY_CANDIDATE,this audit,main audit report,none,COPY_TO_RICHLISTVIEW_THEN_CLEAN,
docs/audit/LISTVIEW_DEPENDENCY_MAP.md,DOCUMENTATION,High,COPY_CANDIDATE,this audit,dependency map,none,COPY_TO_RICHLISTVIEW_THEN_CLEAN,
docs/audit/RICHLISTVIEW_EXTRACTION_MANIFEST.md,DOCUMENTATION,High,COPY_CANDIDATE,this audit,extraction plan,none,COPY_TO_RICHLISTVIEW_THEN_CLEAN,
docs/audit/LISTVIEW_AUDIT_MACHINE_READABLE.csv,DOCUMENTATION,High,COPY_CANDIDATE,this audit,machine-readable classifications,none,COPY_TO_RICHLISTVIEW_THEN_CLEAN,
docs/audit/_generate_audit_csv.py,BUILD_OR_TOOLING,High,LEAVE_BEHIND,audit regen,generator for CSV,none,ARCHIVE_OR_REMOVE_LATER,
docs/AutoDocs/*,DOCUMENTATION,High,LEAVE_BEHIND;DEAD_OR_UNREFERENCED,reference only,Third-party Amiga AutoDocs corpus — excluded from row-level source audit,none,LEAVE_IN_LEGACY_REPOSITORY,Keep as Amiga API reference for both arches
